----------------------------------------------------
       Curve Parameters       | Order | Generator  
----------------------------------------------------
  a = 1    b = 0    p = 5     | 4     | Not Cyclic 
  a = 2    b = 0    p = 5     | 2     | Not Cyclic 
  a = 3    b = 0    p = 5     | 10    |   (2, 3)   
  a = 4    b = 0    p = 5     | 8     | Not Cyclic 
  a = 0    b = 1    p = 5     | 6     |   (2, 3)   
  a = 1    b = 1    p = 5     | 9     |   (0, 1)   
  a = 2    b = 1    p = 5     | 7     |   (0, 1)   
  a = 4    b = 1    p = 5     | 8     |   (0, 1)   
  a = 0    b = 2    p = 5     | 6     |   (4, 1)   
  a = 1    b = 2    p = 5     | 4     |   (1, 3)   
  a = 3    b = 2    p = 5     | 5     |   (1, 1)   
  a = 4    b = 2    p = 5     | 3     |   (3, 1)   
  a = 0    b = 3    p = 5     | 6     |   (1, 3)   
  a = 1    b = 3    p = 5     | 4     |   (4, 1)   
  a = 3    b = 3    p = 5     | 5     |   (3, 3)   
  a = 4    b = 3    p = 5     | 3     |   (2, 3)   
  a = 0    b = 4    p = 5     | 6     |   (3, 1)   
  a = 1    b = 4    p = 5     | 9     |   (0, 3)   
  a = 2    b = 4    p = 5     | 7     |   (0, 3)   
  a = 4    b = 4    p = 5     | 8     |   (0, 3)   
  a = 1    b = 0    p = 7     | 8     |   (3, 4)   
  a = 2    b = 0    p = 7     | 8     |   (5, 4)   
  a = 3    b = 0    p = 7     | 8     | Not Cyclic 
  a = 4    b = 0    p = 7     | 8     |   (3, 2)   
  a = 5    b = 0    p = 7     | 8     | Not Cyclic 
  a = 6    b = 0    p = 7     | 8     | Not Cyclic 
  a = 0    b = 1    p = 7     | 12    | Not Cyclic 
  a = 1    b = 1    p = 7     | 5     |   (0, 1)   
  a = 2    b = 1    p = 7     | 5     |   (0, 1)   
  a = 3    b = 1    p = 7     | 12    |   (2, 1)   
  a = 4    b = 1    p = 7     | 5     |   (0, 1)   
  a = 5    b = 1    p = 7     | 12    |   (4, 1)   
  a = 6    b = 1    p = 7     | 12    |   (1, 1)   
  a = 0    b = 2    p = 7     | 9     | Not Cyclic 
  a = 3    b = 2    p = 7     | 9     |   (0, 4)   
  a = 5    b = 2    p = 7     | 9     |   (0, 4)   
  a = 6    b = 2    p = 7     | 9     |   (0, 4)   
  a = 0    b = 3    p = 7     | 13    |   (1, 2)   
  a = 1    b = 3    p = 7     | 6     |   (4, 1)   
  a = 2    b = 3    p = 7     | 6     |   (2, 1)   
  a = 3    b = 3    p = 7     | 6     |   (4, 4)   
  a = 4    b = 3    p = 7     | 6     |   (1, 1)   
  a = 5    b = 3    p = 7     | 6     |   (1, 4)   
  a = 6    b = 3    p = 7     | 6     |   (2, 4)   
  a = 0    b = 4    p = 7     | 3     |   (0, 2)   
  a = 1    b = 4    p = 7     | 10    |   (0, 2)   
  a = 2    b = 4    p = 7     | 10    |   (0, 2)   
  a = 3    b = 4    p = 7     | 10    |   (2, 2)   
  a = 4    b = 4    p = 7     | 10    |   (0, 2)   
  a = 5    b = 4    p = 7     | 10    |   (3, 2)   
  a = 6    b = 4    p = 7     | 10    |   (1, 2)   
  a = 0    b = 5    p = 7     | 7     |   (3, 2)   
  a = 3    b = 5    p = 7     | 7     |   (1, 4)   
  a = 5    b = 5    p = 7     | 7     |   (1, 2)   
  a = 6    b = 5    p = 7     | 7     |   (2, 2)   
  a = 0    b = 6    p = 7     | 4     | Not Cyclic 
  a = 1    b = 6    p = 7     | 11    |   (1, 1)   
  a = 2    b = 6    p = 7     | 11    |   (1, 4)   
  a = 3    b = 6    p = 7     | 4     |   (6, 4)   
  a = 4    b = 6    p = 7     | 11    |   (1, 2)   
  a = 5    b = 6    p = 7     | 4     |   (5, 4)   
  a = 6    b = 6    p = 7     | 4     |   (3, 4)   
  a = 1    b = 0    p = 11    | 12    |   (7, 3)   
  a = 2    b = 0    p = 11    | 12    | Not Cyclic 
  a = 3    b = 0    p = 11    | 12    |   (2, 5)   
  a = 4    b = 0    p = 11    | 12    |   (6, 3)   
  a = 5    b = 0    p = 11    | 12    |   (6, 9)   
  a = 6    b = 0    p = 11    | 12    | Not Cyclic 
  a = 7    b = 0    p = 11    | 12    | Not Cyclic 
  a = 8    b = 0    p = 11    | 12    | Not Cyclic 
  a = 9    b = 0    p = 11    | 12    |   (2, 9)   
  a = 10   b = 0    p = 11    | 12    | Not Cyclic 
  a = 0    b = 1    p = 11    | 12    |   (7, 5)   
  a = 1    b = 1    p = 11    | 14    |   (1, 5)   
  a = 2    b = 1    p = 11    | 16    |   (0, 1)   
  a = 3    b = 1    p = 11    | 18    |   (1, 4)   
  a = 4    b = 1    p = 11    | 9     |   (0, 1)   
  a = 5    b = 1    p = 11    | 11    |   (0, 1)   
  a = 7    b = 1    p = 11    | 15    |   (0, 1)   
  a = 8    b = 1    p = 11    | 17    |   (0, 1)   
  a = 9    b = 1    p = 11    | 8     | Not Cyclic 
  a = 10   b = 1    p = 11    | 10    |   (0, 1)   
  a = 0    b = 2    p = 11    | 12    |   (1, 5)   
  a = 1    b = 2    p = 11    | 16    | Not Cyclic 
  a = 2    b = 2    p = 11    | 9     |   (1, 4)   
  a = 3    b = 2    p = 11    | 13    |   (2, 4)   
  a = 4    b = 2    p = 11    | 6     |   (5, 9)   
  a = 5    b = 2    p = 11    | 10    |   (2, 3)   
  a = 6    b = 2    p = 11    | 14    |   (1, 3)   
  a = 7    b = 2    p = 11    | 7     |   (7, 3)   
  a = 9    b = 2    p = 11    | 15    |   (4, 5)   
  a = 10   b = 2    p = 11    | 8     |   (3, 9)   
  a = 0    b = 3    p = 11    | 12    |   (4, 1)   
  a = 1    b = 3    p = 11    | 18    |   (5, 1)   
  a = 3    b = 3    p = 11    | 8     | Not Cyclic 
  a = 4    b = 3    p = 11    | 14    |   (3, 3)   
  a = 5    b = 3    p = 11    | 9     |   (0, 5)   
  a = 6    b = 3    p = 11    | 15    |   (0, 5)   
  a = 7    b = 3    p = 11    | 10    |   (0, 5)   
  a = 8    b = 3    p = 11    | 16    |   (0, 5)   
  a = 9    b = 3    p = 11    | 11    |   (0, 5)   
  a = 10   b = 3    p = 11    | 17    |   (0, 5)   
  a = 0    b = 4    p = 11    | 12    |   (1, 4)   
  a = 1    b = 4    p = 11    | 9     |   (0, 9)   
  a = 2    b = 4    p = 11    | 17    |   (0, 9)   
